neutral	( ( ( A ( shirtless man ) ) ( laying ( on ( ( a towel ) ( outside ( on ( a ( sunny day ) ) ) ) ) ) ) ) . )	( ( The man ) ( ( ( ( lies outside ) ( in ( the sun ) ) ) ( ( in order ) ( to ( get ( a tan ) ) ) ) ) . ) )	(ROOT (S (NP (DT A) (JJ shirtless) (NN man)) (VP (VBG laying) (PP (IN on) (NP (NP (DT a) (NN towel)) (PP (JJ outside) (IN on) (NP (DT a) (JJ sunny) (NN day)))))) (. .)))	(ROOT (S (NP (DT The) (NN man)) (VP (VBZ lies) (ADVP (RB outside)) (PP (IN in) (NP (DT the) (NN sun))) (SBAR (IN in) (NN order) (S (VP (TO to) (VP (VB get) (NP (DT a) (NN tan))))))) (. .)))	A shirtless man laying on a towel outside on a sunny day.	The man lies outside in the sun in order to get a tan.	4736291991.jpg#2	4736291991.jpg#2r1n	neutral				
entailment	( ( A man ) ( ( is ( lying ( in ( the grass ) ) ) ) . ) )	( ( The man ) ( ( is ( in ( the grass ) ) ) . ) )	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG lying) (PP (IN in) (NP (DT the) (NN grass))))) (. .)))	(ROOT (S (NP (DT The) (NN man)) (VP (VBZ is) (PP (IN in) (NP (DT the) (NN grass)))) (. .)))	A man is lying in the grass.	The man is in the grass.	4736291991.jpg#4	4736291991.jpg#4r1e	entailment				
contradiction	( ( A man ) ( ( is ( lying ( in ( the grass ) ) ) ) . ) )	( ( ( The man ) ( sleeping ( on ( a bench ) ) ) ) . )	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG lying) (PP (IN in) (NP (DT the) (NN grass))))) (. .)))	(ROOT (S (NP (DT The) (NN man)) (VP (VBG sleeping) (PP (IN on) (NP (DT a) (NN bench)))) (. .)))	A man is lying in the grass.	The man sleeping on a bench.	4736291991.jpg#4	4736291991.jpg#4r1c	contradiction				
neutral	( ( A man ) ( ( is ( lying ( in ( the grass ) ) ) ) . ) )	( ( The man ) ( ( is ( sleeping ( in ( the grass ) ) ) ) . ) )	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG lying) (PP (IN in) (NP (DT the) (NN grass))))) (. .)))	(ROOT (S (NP (DT The) (NN man)) (VP (VBZ is) (VP (VBG sleeping) (PP (IN in) (NP (DT the) (NN grass))))) (. .)))	A man is lying in the grass.	The man is sleeping in the grass.	4736291991.jpg#4	4736291991.jpg#4r1n	neutral				
neutral	( ( ( ( A monkey ) us ) ( climbing ( across ( ( a rope ) ( in ( front ( of ( a ( friends ( cycle sign ) ) ) ) ) ) ) ) ) ) . )	( ( A monkey ) ( is ( trying ( to ( show off ) ) ) ) )	(ROOT (S (NP (NP (DT A) (NN monkey)) (NP (PRP us))) (VP (VBG climbing) (PP (IN across) (NP (NP (DT a) (NN rope)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT a) (NNS friends) (NN cycle) (NN sign)))))))) (. .)))	(ROOT (S (NP (DT A) (NN monkey)) (VP (VBZ is) (VP (VBG trying) (S (VP (TO to) (VP (VB show) (PRT (RP off)))))))))	A monkey us climbing across a rope in front of a friends cycle sign.	A monkey is trying to show off	4260156359.jpg#1	4260156359.jpg#1r1n	neutral				
contradiction	( ( ( ( A monkey ) us ) ( climbing ( across ( ( a rope ) ( in ( front ( of ( a ( friends ( cycle sign ) ) ) ) ) ) ) ) ) ) . )	( ( A monkey ) ( is ( eating ( a banana ) ) ) )	(ROOT (S (NP (NP (DT A) (NN monkey)) (NP (PRP us))) (VP (VBG climbing) (PP (IN across) (NP (NP (DT a) (NN rope)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT a) (NNS friends) (NN cycle) (NN sign)))))))) (. .)))	(ROOT (S (NP (DT A) (NN monkey)) (VP (VBZ is) (VP (VBG eating) (NP (DT a) (NN banana))))))	A monkey us climbing across a rope in front of a friends cycle sign.	A monkey is eating a banana	4260156359.jpg#1	4260156359.jpg#1r1c	contradiction				
entailment	( ( ( ( A monkey ) us ) ( climbing ( across ( ( a rope ) ( in ( front ( of ( a ( friends ( cycle sign ) ) ) ) ) ) ) ) ) ) . )	( ( A monkey ) ( is climbing ) )	(ROOT (S (NP (NP (DT A) (NN monkey)) (NP (PRP us))) (VP (VBG climbing) (PP (IN across) (NP (NP (DT a) (NN rope)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT a) (NNS friends) (NN cycle) (NN sign)))))))) (. .)))	(ROOT (S (NP (DT A) (NN monkey)) (VP (VBZ is) (VP (VBG climbing)))))	A monkey us climbing across a rope in front of a friends cycle sign.	A monkey is climbing	4260156359.jpg#1	4260156359.jpg#1r1e	entailment				
contradiction	( ( People ( taking ( pictures ( of ( an object ) ) ) ) ) . )	( ( girl ( collecting ( the stamps ) ) ) . )	(ROOT (S (NP (NNS People)) (VP (VBG taking) (NP (NP (NNS pictures)) (PP (IN of) (NP (DT an) (NN object))))) (. .)))	(ROOT (S (NP (NN girl)) (VP (VBG collecting) (NP (DT the) (NNS stamps))) (. .)))	People taking pictures of an object.	girl collecting the stamps.	3779886643.jpg#4	3779886643.jpg#4r1c	contradiction				
neutral	( ( People ( taking ( pictures ( of ( an object ) ) ) ) ) . )	( ( man ( taking ( stills ( in ( the garden ) ) ) ) ) . )	(ROOT (S (NP (NNS People)) (VP (VBG taking) (NP (NP (NNS pictures)) (PP (IN of) (NP (DT an) (NN object))))) (. .)))	(ROOT (S (NP (NN man)) (VP (VBG taking) (NP (NP (NNS stills)) (PP (IN in) (NP (DT the) (NN garden))))) (. .)))	People taking pictures of an object.	man taking stills in the garden.	3779886643.jpg#4	3779886643.jpg#4r1n	neutral				
entailment	( ( People ( taking ( pictures ( of ( an object ) ) ) ) ) . )	( ( people ( taking photographs ) ) . )	(ROOT (S (NP (NNS People)) (VP (VBG taking) (NP (NP (NNS pictures)) (PP (IN of) (NP (DT an) (NN object))))) (. .)))	(ROOT (S (NP (NNS people)) (VP (VBG taking) (NP (NNS photographs))) (. .)))	People taking pictures of an object.	people taking photographs.	3779886643.jpg#4	3779886643.jpg#4r1e	entailment				
neutral	( ( chilling ( in ( front ( of ( a ( nice starbucks ) ) ) ) ) ) . )	( ( two people ) ( relax ( outside ( ( a starbucks ) ( on ( a ( sunny day ) ) ) ) ) ) )	(ROOT (S (NP (VBG chilling)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT a) (JJ nice) (NNS starbucks))))) (. .)))	(ROOT (S (NP (CD two) (NNS people)) (VP (VBP relax) (PP (IN outside) (NP (NP (DT a) (NNS starbucks)) (PP (IN on) (NP (DT a) (JJ sunny) (NN day))))))))	chilling in front of a nice starbucks.	two people relax outside a starbucks on a sunny day	2376413845.jpg#4	2376413845.jpg#4r1n	neutral				
contradiction	( ( chilling ( in ( front ( of ( a ( nice starbucks ) ) ) ) ) ) . )	( chilling ( in ( front ( of ( a ( mcdonalds ( eating lunch ) ) ) ) ) ) )	(ROOT (S (NP (VBG chilling)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT a) (JJ nice) (NNS starbucks))))) (. .)))	(ROOT (ADJP (JJ chilling) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT a) (JJ mcdonalds) (NN eating) (NN lunch)))))))	chilling in front of a nice starbucks.	chilling in front of a mcdonalds eating lunch	2376413845.jpg#4	2376413845.jpg#4r1c	contradiction				
entailment	( ( chilling ( in ( front ( of ( a ( nice starbucks ) ) ) ) ) ) . )	( relaxing ( outside ( a ( coffee shop ) ) ) )	(ROOT (S (NP (VBG chilling)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT a) (JJ nice) (NNS starbucks))))) (. .)))	(ROOT (S (VP (VBG relaxing) (PP (IN outside) (NP (DT a) (NN coffee) (NN shop))))))	chilling in front of a nice starbucks.	relaxing outside a coffee shop	2376413845.jpg#4	2376413845.jpg#4r1e	entailment				
entailment	( ( A ( handsome ( male model ) ) ) ( ( is ( having ( makeup ( applied ( to ( his face ) ) ) ) ) ) . ) )	( ( A model ) ( ( is ( preparing ( his look ) ) ) . ) )	(ROOT (S (NP (DT A) (JJ handsome) (JJ male) (NN model)) (VP (VBZ is) (VP (VBG having) (NP (NP (NN makeup)) (VP (VBN applied) (PP (TO to) (NP (PRP$ his) (NN face))))))) (. .)))	(ROOT (S (NP (DT A) (NN model)) (VP (VBZ is) (VP (VBG preparing) (NP (PRP$ his) (NN look)))) (. .)))	A handsome male model is having makeup applied to his face.	A model is preparing his look.	543875752.jpg#1	543875752.jpg#1r1e	entailment				
contradiction	( ( A ( handsome ( male model ) ) ) ( ( is ( having ( makeup ( applied ( to ( his face ) ) ) ) ) ) . ) )	( ( A model ) ( ( is ( about ( to ( go ( play football ) ) ) ) ) . ) )	(ROOT (S (NP (DT A) (JJ handsome) (JJ male) (NN model)) (VP (VBZ is) (VP (VBG having) (NP (NP (NN makeup)) (VP (VBN applied) (PP (TO to) (NP (PRP$ his) (NN face))))))) (. .)))	(ROOT (S (NP (DT A) (NN model)) (VP (VBZ is) (VP (IN about) (S (VP (TO to) (VP (VB go) (NP (NN play) (NN football))))))) (. .)))	A handsome male model is having makeup applied to his face.	A model is about to go play football.	543875752.jpg#1	543875752.jpg#1r1c	contradiction				
neutral	( ( A ( handsome ( male model ) ) ) ( ( is ( having ( makeup ( applied ( to ( his face ) ) ) ) ) ) . ) )	( ( A model ) ( ( is ( having ( mascara applied ) ) ) . ) )	(ROOT (S (NP (DT A) (JJ handsome) (JJ male) (NN model)) (VP (VBZ is) (VP (VBG having) (NP (NP (NN makeup)) (VP (VBN applied) (PP (TO to) (NP (PRP$ his) (NN face))))))) (. .)))	(ROOT (S (NP (DT A) (NN model)) (VP (VBZ is) (VP (VBG having) (NP (NP (NN mascara)) (VP (VBN applied))))) (. .)))	A handsome male model is having makeup applied to his face.	A model is having mascara applied.	543875752.jpg#1	543875752.jpg#1r1n	neutral				
entailment	( ( A woman ) ( ( is ( ( talking ( on ( her cellphone ) ) ) ( while ( ( a couple ) ( id ( sitting ( at ( a restaurant ) ) ) ) ) ) ) ) . ) )	( ( A woman ) ( ( is ( talking ( near ( a couple ) ) ) ) . ) )	(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ is) (VP (VBG talking) (PP (IN on) (NP (PRP$ her) (NN cellphone))) (SBAR (IN while) (S (NP (DT a) (NN couple)) (VP (VBP id) (S (VP (VBG sitting) (PP (IN at) (NP (DT a) (NN restaurant)))))))))) (. .)))	(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ is) (VP (VBG talking) (PP (IN near) (NP (DT a) (NN couple))))) (. .)))	A woman is talking on her cellphone while a couple id sitting at a restaurant.	A woman is talking near a couple.	2376413845.jpg#1	2376413845.jpg#1r1e	entailment				
